n,system,time
1,galactic,9.070188284518828e-8
1,fk5j2000,8.07080745341615e-8
1,fk5j1975,8.1971875e-8
1,supergalactic,9.603601694915254e-8
10,galactic,8.433142857142857e-7
10,fk5j2000,8.527272727272727e-7
10,fk5j1975,8.526060606060606e-7
10,supergalactic,8.368108108108109e-7
100,galactic,8.163333333333334e-6
100,fk5j2000,8.174666666666666e-6
100,fk5j1975,8.192333333333335e-6
100,supergalactic,8.367e-6
1000,galactic,0.000101975
1000,fk5j2000,0.000104378
1000,fk5j1975,0.000104571
1000,supergalactic,0.000103604
10000,galactic,0.001081324
10000,fk5j2000,0.001096162
10000,fk5j1975,0.001100317
10000,supergalactic,0.001094572
100000,galactic,0.010836767
100000,fk5j2000,0.010945083
100000,fk5j1975,0.011005974
100000,supergalactic,0.010936259
1000000,galactic,0.108670411
1000000,fk5j2000,0.110063537
1000000,fk5j1975,0.110422317
1000000,supergalactic,0.10979276
