n,system,time
1,galactic,0.001644
1,fk5j2000,0.001053
1,fk5j1975,0.001588
1,supergalactic,0.001588
10,galactic,0.001670
10,fk5j2000,0.001013
10,fk5j1975,0.001603
10,supergalactic,0.001603
100,galactic,0.001711
100,fk5j2000,0.001020
100,fk5j1975,0.001641
100,supergalactic,0.001641
1000,galactic,0.002037
1000,fk5j2000,0.001189
1000,fk5j1975,0.001815
1000,supergalactic,0.001815
10000,galactic,0.005010
10000,fk5j2000,0.002675
10000,fk5j1975,0.003280
10000,supergalactic,0.003280
100000,galactic,0.033002
100000,fk5j2000,0.016734
100000,fk5j1975,0.017235
100000,supergalactic,0.017235
1000000,galactic,0.328802
1000000,fk5j2000,0.165695
1000000,fk5j1975,0.165792
1000000,supergalactic,0.165792
